id,number,title,state,author,created_at,updated_at,closed_at,merged_at,merged_by,comments_count,review_comments_count,commits_count,additions,deletions
927429622,7906,add detail on doc explain  how to make self defined class of  custom dataset registed,open,yestimes,2022-05-04T09:45:10Z,2024-11-11T21:57:44Z,,,,0,0,0,0,0
1377977814,10440,fix bug in point_assigner,open,hujh1994,2023-06-04T22:40:46Z,2024-11-06T08:14:35Z,,,,0,0,0,0,0
2162638992,12030,Accident pull request,closed,c-m-g-zhu,2024-11-05T09:34:04Z,2024-11-05T10:35:34Z,2024-11-05T09:35:02Z,,,0,0,0,0,0
2162219666,12029,Create hoshi airdrop,open,yongsky02,2024-11-05T04:32:35Z,2024-11-05T04:32:41Z,,,,0,0,0,0,0
2151897871,12021,robust_object_detection using mmdetection,closed,Minkyoung9,2024-10-29T15:36:27Z,2024-10-30T03:59:30Z,2024-10-30T03:59:29Z,,,0,0,0,0,0
2023888902,11913,Make projects module available for custom import of CO-DETR,open,bibekyess,2024-08-17T06:00:55Z,2024-10-29T10:01:06Z,,,,0,0,0,0,0
995593556,8362,[WIP]: Add DINO on MMDetection 2.x,closed,Li-Qingyun,2022-07-13T14:42:04Z,2024-10-29T01:48:07Z,2024-10-29T01:48:07Z,,,0,0,0,0,0
1177671853,9534,[Doc] Add Doc of Detection Transformers,closed,Li-Qingyun,2022-12-26T10:06:26Z,2024-10-29T01:47:00Z,2024-10-29T01:47:00Z,,,0,0,0,0,0
746741712,6205,fix potential bug of swin converter,open,HarborYuan,2021-09-30T14:11:18Z,2024-10-24T07:36:05Z,,,,0,0,0,0,0
835020685,7099,[unify] change train_detector to train_model,open,EasonQYS,2022-01-29T07:11:51Z,2024-10-24T07:35:49Z,,,,0,0,0,0,0
1045731264,8735,[Feature] K-Net,open,chhluo,2022-09-04T15:32:02Z,2024-10-24T07:34:59Z,,,,0,0,0,0,0
1077962326,8947,[Fix] Fix the bug that MMDetWandbHook cannot log evaluation results,open,RockeyCoss,2022-10-05T23:20:06Z,2024-10-24T07:34:22Z,,,,0,0,0,0,0
1280308595,9981,Add fix for albu channel order,open,mmeendez8,2023-03-17T14:33:56Z,2024-10-24T07:33:13Z,,,,0,0,0,0,0
1413415635,10574,Fix device of the tensors in set_nms,closed,max-unfinity,2023-06-29T14:06:48Z,2024-10-24T07:09:38Z,2023-07-21T01:56:16Z,2023-07-21T01:56:15Z,,0,0,0,0,0
2135889001,12006,"added missing """,open,laurenzheidrich,2024-10-21T11:53:06Z,2024-10-21T11:54:07Z,,,,0,0,0,0,0
660850196,5282,[Feature] Skipping post-processing in Mask R-CNN,closed,SemyonBevzuk,2021-06-03T12:07:50Z,2024-10-20T09:43:02Z,2024-10-20T09:42:53Z,,,0,0,0,0,0
616731691,4990,[Feature] NMS update,closed,SemyonBevzuk,2021-04-16T10:41:14Z,2024-10-20T09:43:02Z,2024-10-20T09:42:53Z,,,0,0,0,0,0
1353820470,10348,Fix RTMDet miss `LoadAnnotations` bug in test_pipeline,closed,hhaAndroid,2023-05-17T09:38:56Z,2024-10-16T14:38:51Z,2023-05-17T10:06:26Z,2023-05-17T10:06:26Z,,0,0,0,0,0
1390430818,10498,[Training is in progress] [Feature] Support RT-DETR,open,nijkah,2023-06-13T11:39:42Z,2024-10-12T02:36:48Z,,,,0,0,0,0,0
2098695381,11981,Enable float32 image dtype in (Cached)MixUp,open,mawanda-jun,2024-09-30T10:05:32Z,2024-09-30T10:05:40Z,,,,0,0,0,0,0
2090091991,11970,[SVM-796] upgrade torch,closed,wemoveon2,2024-09-24T22:26:47Z,2024-09-24T22:32:01Z,2024-09-24T22:28:00Z,,,0,0,0,0,0
1990628048,11884,fix(README): fix link of XDecoder at README,open,scepter914,2024-07-27T19:17:19Z,2024-09-23T13:23:06Z,,,,0,0,0,0,0
1781204836,11571,fix: typos,open,testwill,2024-03-20T01:51:18Z,2024-09-23T02:50:09Z,,,,0,0,0,0,0
1813484257,11623,first update,closed,JGyoung-UCAS,2024-04-09T06:40:49Z,2024-09-23T02:49:16Z,2024-09-23T02:49:16Z,,,0,0,0,0,0
2072734606,11961,Convert `bboxes` to `numpy.ndarray` in InstanceData for Detection Task,open,Archie2035,2024-09-15T14:57:53Z,2024-09-15T14:58:00Z,,,,0,0,0,0,0
2072719449,11960,Convert `bboxes` to `numpy.ndarray` in InstanceData for tools/analyze_results.py,closed,Archie2035,2024-09-15T14:11:37Z,2024-09-15T14:46:46Z,2024-09-15T14:46:46Z,,,0,0,0,0,0
1901203352,11764,loosen version constraint with mmcv,closed,jhj0517,2024-06-03T16:01:27Z,2024-09-06T09:22:31Z,2024-09-06T09:22:31Z,,,0,0,0,0,0
2054608082,11940,Update analyze_logs.py,open,hcbin,2024-09-05T02:18:41Z,2024-09-05T02:53:22Z,,,,0,0,0,0,0
1295774417,10053,【fix】 fix reppoints head device bug,closed,klyu521,2023-03-30T07:50:21Z,2024-08-29T07:30:47Z,2023-03-31T02:49:24Z,2023-03-31T02:49:24Z,,0,0,0,0,0
1289240686,10026,Fixed potential device mismatch,closed,cxy1997,2023-03-24T15:27:51Z,2024-08-29T07:01:20Z,2023-03-29T07:09:09Z,2023-03-29T07:09:09Z,,0,0,0,0,0
1287330318,10016,[Fix] Fix the precision problem of solov2 model on NPU.,closed,Ginray,2023-03-23T12:25:37Z,2024-08-29T06:30:43Z,2023-03-24T03:45:09Z,2023-03-24T03:45:09Z,,0,0,0,0,0
2014106059,11906,[Fix] rtmdet_ins_head scale_factor dimensions,open,wickeat,2024-08-12T02:42:42Z,2024-08-12T07:16:56Z,,,,0,0,0,0,0
1410224294,10561,[Feature] Support Dense Teacher,open,shufanwu,2023-06-27T16:24:40Z,2024-08-05T02:44:14Z,,,,0,0,0,0,0
1782001014,11574,Updated the mmdet2torchserve function:,open,Danil328,2024-03-20T12:29:55Z,2024-08-01T09:38:12Z,,,,0,0,0,0,0
1988923813,11881,Update local_visualizer.py to return the image if there are no masks,open,peasant98,2024-07-26T07:50:13Z,2024-07-31T19:34:07Z,,,,0,0,0,0,0
1248343946,9812,[Feature] Support ViTDet in projects,closed,zwhus,2023-02-21T08:32:00Z,2024-07-30T02:39:10Z,2023-05-12T06:02:22Z,2023-05-12T06:02:21Z,,0,0,0,0,0
1473936182,10787,Refine DDQ README,closed,hhaAndroid,2023-08-14T08:01:36Z,2024-07-29T10:17:36Z,2023-08-15T06:03:50Z,2023-08-15T06:03:50Z,,0,0,0,0,0
1574594716,11094,[MMSIG]Add the functionality to plot the PR curve in the COCO metric indicators of mmdet,open,SimonGuoNjust,2023-10-26T11:10:19Z,2024-07-29T09:50:09Z,,,,0,0,0,0,0
1695802028,11432,fix albumentations mask postprocessing,open,AItairs,2024-01-25T15:21:31Z,2024-07-22T08:25:45Z,,,,0,0,0,0,0
1917564195,11789,Update __init__.py,open,JohnConnor123,2024-06-12T23:51:29Z,2024-07-12T23:33:27Z,,,,0,0,0,0,0
1855358022,11680,[Fix] Update mmcv_maximum_version,closed,shun001,2024-05-06T03:35:31Z,2024-07-12T09:35:44Z,2024-07-12T09:35:11Z,2024-07-12T09:35:11Z,,0,0,0,0,0
1932620597,11809,fix:Fix two of the CO-DETR config files,open,Zzzan,2024-06-21T14:41:51Z,2024-07-10T14:23:56Z,,,,0,0,0,0,0
1617884454,11216,Update iou2d_calculator.py to fix an error description in the comment,closed,lengmo1996,2023-11-27T12:33:37Z,2024-07-07T08:34:55Z,2024-07-07T08:34:55Z,,,0,0,0,0,0
1942367793,11814,[Fix] non-functional configuration File for new config file of maskformer_swin_l,open,tackhwa,2024-06-27T13:33:20Z,2024-06-27T13:33:47Z,,,,0,0,0,0,0
1828825200,11646,pull the newest code,closed,leo038,2024-04-18T06:31:27Z,2024-06-12T02:22:37Z,2024-06-12T02:22:36Z,,,0,0,0,0,0
1842533691,11669,Fix: some bugs when text input reaches max_tokens of language_model,open,jiangtann,2024-04-26T09:55:55Z,2024-05-27T19:25:57Z,,,,0,0,0,0,0
1887261259,11741,Fix NLTK Download and add Verbose Flag for GLIP,open,Pikus16,2024-05-24T17:06:57Z,2024-05-24T19:55:27Z,,,,0,0,0,0,0
1870650274,11716,PipelineSwitchHook now compatible with MultiImageMixDataset,open,mawanda-jun,2024-05-15T09:09:06Z,2024-05-17T08:23:11Z,,,,0,0,0,0,0
1868645787,11713,CopyPaste bugfix - result['img'] not in src image dtype,open,mawanda-jun,2024-05-14T10:33:11Z,2024-05-16T12:34:52Z,,,,0,0,0,0,0
1624073197,11231,Fix wrong size of mask in RTMDet-Ins post-processing.,open,flytocc,2023-11-30T16:48:46Z,2024-05-09T07:26:04Z,,,,0,0,0,0,0
1453632878,10719,[CodeCamp2023-500]add large_image_demo,closed,YanxingLiu,2023-07-28T10:46:54Z,2024-05-09T01:31:59Z,2023-08-14T06:31:52Z,2023-08-14T06:31:52Z,,0,0,0,0,0
1850559053,11676,Detrobust,closed,dayelang618,2024-05-02T02:06:45Z,2024-05-02T02:07:19Z,2024-05-02T02:07:19Z,,,0,0,0,0,0
842699964,7129,"check error when the ""image"" field of json file of dataset is empty, which may lead to an empty dataloader",closed,HiiiXinyiii,2022-02-08T11:25:05Z,2024-04-25T20:01:37Z,2024-04-25T20:01:37Z,,,0,0,0,0,0
1839793344,11662,Remove unused kwarray,open,Erotemic,2024-04-24T23:49:06Z,2024-04-24T23:49:12Z,,,,0,0,0,0,0
1507782527,10901,[CodeCamp2023-474] Add new configuration files for DINO algorithm in mmdetection. ,closed,Markson-Young,2023-09-08T12:07:03Z,2024-04-16T13:21:04Z,2023-09-13T01:59:06Z,2023-09-13T01:59:06Z,,0,0,0,0,0
1822647242,11639,doc: using collate_fn,open,AlanBlanchet,2024-04-15T07:51:06Z,2024-04-15T07:51:18Z,,,,0,0,0,0,0
1802697180,11610,doc: using collate_fn,closed,AlanBlanchet,2024-04-02T14:50:33Z,2024-04-15T07:49:01Z,2024-04-15T07:49:01Z,,,0,0,0,0,0
1814255099,11625,fix(depreciation): np >= 1.20 dtype long is int_,open,AwePhD,2024-04-09T14:24:07Z,2024-04-10T06:35:42Z,,,,0,0,0,0,0
1814009614,11624,Fixed channel order RGB bug in the inference Code,open,SarmadNR,2024-04-09T12:11:14Z,2024-04-09T12:19:07Z,,,,0,0,0,0,0
1299458387,10070,[Fix] Fix inference_detector fail on non-cuda and non-cpu devices,closed,Metal-joker,2023-04-03T05:49:11Z,2024-04-08T14:12:06Z,2024-04-08T14:12:06Z,,,0,0,0,0,0
1806236260,11615,V3det update,open,yhcao6,2024-04-04T06:43:59Z,2024-04-04T06:44:06Z,,,,0,0,0,0,0
1446140102,10689,[Feature] Support MaskDINO,open,hhaAndroid,2023-07-24T06:49:03Z,2024-03-28T19:43:44Z,,,,0,0,0,0,0
1795975287,11602,Sync to 3.3,closed,AwePhD,2024-03-28T12:29:17Z,2024-03-28T12:33:59Z,2024-03-28T12:33:59Z,,,0,0,0,0,0
1546577553,11006,[CodeCamp2023-475] Add new configuration files for Mask2Former algorithm.,closed,ChengAoShen,2023-10-08T02:39:59Z,2024-03-22T03:45:13Z,2024-03-22T03:45:13Z,,,0,0,0,0,0
1688585851,11415,Feat: Load datasets from huggingface hub,closed,ryan-minato,2024-01-21T09:00:06Z,2024-03-17T04:50:29Z,2024-03-17T04:50:29Z,,,0,0,0,0,0
1767674528,11546,Update train.md to have runable example,open,vedal,2024-03-12T10:59:35Z,2024-03-12T11:30:47Z,,,,0,0,0,0,0
1736586231,11487,Add missing entry of 'isthing' for  coco panoptic in customize dataset,open,FranklynJey,2024-02-21T11:10:49Z,2024-03-11T13:30:38Z,,,,0,0,0,0,0
1713070077,11463,copy to cpu without oom,open,vmmm123,2024-02-06T07:02:05Z,2024-03-08T03:18:50Z,,,,0,0,0,0,0
1761116893,11524,fix BUG of SSDHead when predict,open,zzj403,2024-03-07T14:07:00Z,2024-03-07T14:11:29Z,,,,0,0,0,0,0
1760564858,11522,add support for custom input & output channels in mobileNetV2,open,raushani2v,2024-03-07T09:03:09Z,2024-03-07T11:23:33Z,,,,0,0,0,0,0
1749608948,11509,Update swinb & swinl results,open,hhaAndroid,2024-02-29T11:55:14Z,2024-03-04T11:07:55Z,,,,0,0,0,0,0
1509128581,10907,[CodeCamp2023-683]Support grounding dino,closed,YanxingLiu,2023-09-10T12:09:23Z,2024-02-27T02:45:47Z,2023-09-18T05:21:11Z,2023-09-18T05:21:11Z,,0,0,0,0,0
1742196213,11496,new Feature: Prompt tuning for Grounding DINO,open,CMZJIRCV,2024-02-25T14:48:57Z,2024-02-25T14:49:04Z,,,,0,0,0,0,0
1740314520,11493,new feature: Prompt Tuning for mmGroundingDino,closed,CMZJIRCV,2024-02-23T08:38:37Z,2024-02-25T14:38:42Z,2024-02-25T14:38:41Z,,,0,0,0,0,0
1292590364,10039,[Feature] Support Semi-automatic annotation Base Label-Studio,closed,vansinhu,2023-03-28T08:48:47Z,2024-02-25T08:15:31Z,2023-04-03T11:29:55Z,2023-04-03T11:29:54Z,,0,0,0,0,0
1601910788,11182,Fix freeze_stage in swin.py and bug of split_outputs in dino_head.py,open,ShenghaiRong,2023-11-15T05:19:14Z,2024-02-25T05:09:54Z,,,,0,0,0,0,0
